Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	531.05	212	46.8163	33.401	0.5273	11.8517	7.2669	0.871	0.577	109.6215	0.0983	0.7984	0.3645	0.4339	0.0679	12.9074	0.0341	0.1583	-0.0187	0.177
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	797.25	211.6	28.2384	23.7983	0.6266	9.6161	4.2505	0.9062	0.4099	48.7758	0.0996	0.5971	0.2108	0.3863	0.0794	9.4495	0.0366	0.1591	-0.0042	0.1633
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	289.05	212	23.0366	18.5755	0.839	7.4679	4.2466	0.8477	0.642	62.9174	0.1134	0.9085	0.434	0.4745	0.0507	4.9728	0.0207	0.0863	-0.0034	0.0898
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	403.85	218.1	58.7062	46.0802	0.3474	19.7087	6.5349	0.9625	0.7362	178.1513	0.1355	1.1144	0.3917	0.7228	0.1289	31.1833	0.0622	0.2958	-0.0253	0.3211
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	422.35	213.800000000001	36.165	23.3465	0.8338	9.1852	5.1961	0.8049	0.6399	96.6287	0.1518	1.0295	0.3607	0.6688	0.0667	10.0673	0.0268	0.1782	-0.0078	0.186
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	822.35	213.800000000001	29.2292	22.5877	0.7199	9.2904	4.1829	0.8909	0.542	64.4929	0.1321	0.8513	0.254	0.5973	0.0968	11.5185	0.0576	0.2257	-0.0171	0.2428
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	354.85	213.200000000001	30.22	21.74	0.8035	8.7262	4.4086	0.8517	0.6096	74.977	0.1243	0.9081	0.3617	0.5464	0.0679	8.3513	0.0373	0.1337	-0.0428	0.1766
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	261.85	212.800000000001	26.9999	19.6899	0.8752	6.6848	5.3693	0.5925	0.6144	68.8156	0.1001	0.8757	0.4455	0.4302	0.0428	4.7975	0.0181	0.0791	-5e-04	0.0796
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	436.75	213.5	35.1742	25.0028	0.7071	8.4928	6.5846	0.6732	0.5535	78.5987	0.1058	0.7585	0.3462	0.4123	0.0532	7.5494	0.0299	0.1451	-0.006	0.151
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	630.45	213.5	20.0641	18.6	0.7288	7.3248	3.8063	0.8872	0.5331	43.7107	0.0891	0.7708	0.3541	0.4168	0.0902	7.3985	0.0303	0.1327	-0.0022	0.1348
