Centroid X µm,Centroid Y µm,Boundary,VesselID
419.931967636076,223.538249029002,0,4
418.792118992697,223.538249029002,0,4
417.652270349318,223.538249029002,0,4
416.512421705939,223.538249029002,0,4
415.372573062561,223.538249029002,0,4
414.232724419182,223.538249029002,0,4
413.092875775803,223.538249029002,0,4
411.953027132424,223.538249029002,0,4
410.813178489045,223.538249029002,0,4
435.889848643379,224.611290533836,0,4
434.75,224.611290533836,0,4
433.610151356621,224.611290533836,0,4
432.470302713242,224.611290533836,0,4
431.330454069864,224.611290533836,0,4
430.190605426485,224.611290533836,0,4
429.050756783106,224.611290533836,0,4
427.910908139727,224.611290533836,0,4
426.771059496348,224.611290533836,0,4
425.63121085297,224.611290533836,0,4
424.491362209591,224.611290533836,0,4
423.351513566212,224.611290533836,0,4
422.211664922833,224.611290533836,0,4
